Global configuration as follows:
model            MobileNet
dataset          cityscapes
data_dir         /home/madongliang/dataset/cityscapes/cityscape
dataset_list     cityscapes_trainval_list.txt
train_data_list  ./dataset/list/Cityscapes/cityscapes_trainval_list.txt
train_type       ontrainval
max_epochs       350
val_data_list    ./dataset/list/Cityscapes/cityscapes_val_list.txt
scaleIn          1
input_size       680,680
random_mirror    True
random_scale     True
num_workers      1
batch_size       16
lr               0.001
savedir          ./checkpoint/cityscapes/MobileNetV3bs16gpu2_ontrainval/
resume           ./checkpoint/cityscapes/CGNet_M3N21bs16gpu2_ontrainval/model_1.pth
classes          19
inform_data_file ./dataset/wtfile/cityscapes_inform.pkl
M                3
N                21
logFile          log.txt
cuda             True
gpus             4,5
seed             9830
gpu_nums         2
Parameters: 897025
Epoch		Loss(Tr)		Loss(val)		mIOU (tr)		mIOU (val)		
130		0.4446		0.4478		0.0006558
131		0.4412		0.4291		0.0006531
132		0.4400		0.4333		0.0006504
133		0.4404		0.4576		0.0006477
134		0.4305		0.4166		0.0006450
135		0.4591		0.4313		0.0006423
136		0.4370		0.4187		0.0006396
137		0.4461		0.4377		0.0006369
138		0.4519		0.4654		0.0006342
139		0.4500		0.4123		0.0006315
140		0.4576		0.4327		0.0006288
141		0.4372		0.4158		0.0006260
142		0.4393		0.4657		0.0006233
143		0.4463		0.4140		0.0006206
144		0.4450		0.4329		0.0006179
145		0.4403		0.4490		0.0006152
146		0.4405		0.4414		0.0006125
147		0.4357		0.4343		0.0006098
148		0.4314		0.4642		0.0006070
149		0.4378		0.4757		0.0006043
150		0.4257		0.4347		0.4586		0.0006016
151		0.4353		0.4334		0.0005989
152		0.4527		0.4372		0.0005962
153		0.4291		0.4703		0.0005934
154		0.4247		0.4390		0.0005907
155		0.4318		0.4304		0.0005880
156		0.4196		0.4642		0.0005853
157		0.4325		0.4334		0.0005825
158		0.4258		0.4247		0.0005798
159		0.4443		0.4226		0.0005771
160		0.4272		0.4625		0.0005743
161		0.4145		0.4764		0.0005716
162		0.4341		0.4250		0.0005689
163		0.4343		0.4265		0.0005661
164		0.4277		0.4210		0.0005634
165		0.4181		0.4401		0.0005606
166		0.4361		0.4583		0.0005579
167		0.4335		0.4347		0.0005552
168		0.4245		0.4603		0.0005524
169		0.4324		0.4663		0.0005497
170		0.4285		0.4450		0.0005469
171		0.4258		0.4310		0.0005442
172		0.4184		0.4135		0.0005414
173		0.4298		0.4573		0.0005387
174		0.4223		0.5030		0.0005359
175		0.4262		0.4459		0.0005331
176		0.4236		0.4378		0.0005304
177		0.4266		0.4618		0.0005276
178		0.4144		0.4548		0.0005249
179		0.4196		0.4515		0.0005221
180		0.4255		0.4612		0.0005193
181		0.4166		0.4324		0.0005166
182		0.4235		0.4484		0.0005138
183		0.4237		0.4343		0.0005110
184		0.4224		0.4317		0.0005083
185		0.4131		0.4512		0.0005055
186		0.4198		0.4711		0.0005027
187		0.4168		0.4623		0.0004999
188		0.4132		0.4394		0.0004972
189		0.4239		0.4734		0.0004944
190		0.4016		0.4481		0.0004916
191		0.4047		0.4917		0.0004888
192		0.4070		0.4367		0.0004860
193		0.4168		0.4344		0.0004832
194		0.4101		0.4791		0.0004805
195		0.4194		0.4316		0.0004777
196		0.4091		0.4482		0.0004749
197		0.4015		0.4813		0.0004721
198		0.4126		0.4531		0.0004693
199		0.4077		0.4870		0.0004665
200		0.4053		0.4404		0.4964		0.0004637
201		0.4073		0.5025		0.0004609
202		0.4151		0.4406		0.0004581
203		0.4176		0.4650		0.0004553
204		0.4135		0.4304		0.0004525
205		0.4091		0.4960		0.0004497
206		0.4057		0.4510		0.0004468
207		0.3954		0.4553		0.0004440
208		0.4102		0.4750		0.0004412
209		0.4015		0.4564		0.0004384
210		0.4044		0.4588		0.0004356
211		0.4172		0.4580		0.0004328
212		0.4085		0.4626		0.0004299
213		0.4110		0.4493		0.0004271
214		0.4049		0.4333		0.0004243
215		0.3982		0.4867		0.0004215
216		0.4023		0.4534		0.0004186
217		0.3942		0.4730		0.0004158
218		0.3941		0.4682		0.0004129
219		0.4068		0.4562		0.0004101
220		0.3999		0.4646		0.0004073
221		0.3949		0.4681		0.0004044
222		0.3957		0.4852		0.0004016
223		0.3878		0.4749		0.0003987
224		0.3928		0.5073		0.0003959
225		0.4013		0.4666		0.0003930
226		0.3877		0.4698		0.0003902
227		0.3957		0.4338		0.0003873
228		0.3964		0.4674		0.0003845
229		0.4016		0.5221		0.0003816
230		0.4066		0.4776		0.0003787
231		0.3984		0.4757		0.0003759
232		0.3967		0.4617		0.0003730
233		0.4021		0.4830		0.0003701
234		0.3992		0.4574		0.0003673
235		0.3903		0.4781		0.0003644
